OrderNumber,Channel,Procured Date,OrderDate,Ship Date,Delivery Date,Warehouse Index,Customer Index,Region Index,Product Index,Order Quantity,Unit Price,Unit Cost
SO - 000266,Distributor,12/31/2017,6/19/2018,6/28/2018,7/4/2018,2,19,4,5,6,6324.8,4300.864
SO - 000267,Wholesale,12/31/2017,6/19/2018,6/27/2018,7/1/2018,4,16,74,13,6,1005,502.5
SO - 000268,Distributor,4/10/2018,6/19/2018,7/14/2018,7/17/2018,2,15,25,2,10,1293.1,659.481
SO - 000269,Wholesale,4/10/2018,6/19/2018,7/16/2018,7/26/2018,6,8,82,7,5,844.2,540.288
SO - 000270,Wholesale,4/10/2018,6/19/2018,7/7/2018,7/14/2018,3,27,20,6,8,247.9,195.841
SO - 000271,Wholesale,12/31/2017,6/19/2018,6/26/2018,6/28/2018,1,12,77,1,12,174.2,139.36
SO - 000272,Wholesale,4/10/2018,6/20/2018,7/11/2018,7/17/2018,3,30,32,12,9,1025.1,707.319
SO - 000273,Export,12/31/2017,6/20/2018,7/1/2018,7/6/2018,5,19,49,1,9,3068.6,2301.45
SO - 000274,Distributor,12/31/2017,6/20/2018,7/9/2018,7/11/2018,2,44,6,7,7,241.2,115.776
SO - 000275,Distributor,4/10/2018,6/20/2018,7/12/2018,7/17/2018,2,24,69,7,10,174.2,139.36
SO - 000276,Export,12/31/2017,6/20/2018,7/3/2018,7/13/2018,4,10,70,13,7,2505.8,1804.176
SO - 000277,Wholesale,12/31/2017,6/20/2018,7/17/2018,7/20/2018,1,35,57,11,11,2599.6,1637.748
SO - 000278,Export,12/31/2017,6/20/2018,6/24/2018,6/28/2018,2,38,56,2,12,2278,1503.48
SO - 000279,Wholesale,4/10/2018,6/21/2018,7/13/2018,7/21/2018,5,31,1,13,12,1092.1,589.734
SO - 000280,Wholesale,4/10/2018,6/21/2018,7/4/2018,7/7/2018,4,40,66,7,9,1139,933.98
SO - 000281,Export,12/31/2017,6/21/2018,7/2/2018,7/10/2018,5,9,62,7,11,1675,1072
SO - 000282,Export,4/10/2018,6/21/2018,6/29/2018,7/2/2018,1,41,8,11,7,1011.7,687.956
SO - 000283,Wholesale,4/10/2018,6/21/2018,7/16/2018,7/21/2018,2,11,30,6,12,938,412.72
SO - 000284,Distributor,4/10/2018,6/21/2018,7/16/2018,7/26/2018,4,48,11,5,10,2566.1,1052.101
SO - 000285,Wholesale,4/10/2018,6/22/2018,7/16/2018,7/24/2018,2,4,40,2,12,871,374.53
SO - 000286,Wholesale,4/10/2018,6/22/2018,7/17/2018,7/21/2018,6,4,34,1,9,2485.7,1789.704
SO - 000287,Distributor,4/10/2018,6/22/2018,7/13/2018,7/17/2018,5,40,85,6,9,2345,1922.9
SO - 000288,Distributor,4/10/2018,6/22/2018,7/12/2018,7/21/2018,4,19,5,9,12,1118.9,749.663
SO - 000289,Wholesale,4/10/2018,6/22/2018,6/25/2018,7/2/2018,4,24,28,2,7,1996.6,1397.62
SO - 000290,Distributor,4/10/2018,6/22/2018,7/10/2018,7/20/2018,2,6,6,2,6,710.2,390.61
SO - 000291,Export,4/10/2018,6/22/2018,7/15/2018,7/22/2018,2,6,14,10,6,3979.8,1790.91
SO - 000292,Distributor,12/31/2017,6/22/2018,7/11/2018,7/13/2018,5,9,8,11,6,1025.1,440.793
SO - 000293,Distributor,12/31/2017,6/22/2018,7/4/2018,7/9/2018,2,3,72,7,8,2519.2,1309.984
SO - 000294,Wholesale,12/31/2017,6/22/2018,7/18/2018,7/25/2018,2,36,9,11,8,5031.7,3471.873
SO - 000295,Wholesale,4/10/2018,6/23/2018,7/1/2018,7/4/2018,3,27,29,6,10,1829.1,768.222
SO - 000296,Wholesale,4/10/2018,6/23/2018,7/16/2018,7/22/2018,3,29,1,11,11,1072,900.48
SO - 000297,Wholesale,4/10/2018,6/23/2018,7/8/2018,7/14/2018,1,11,64,1,10,2539.3,1828.296
SO - 000298,Distributor,4/10/2018,6/23/2018,7/11/2018,7/18/2018,3,24,18,13,8,3899.4,2027.688
SO - 000299,Wholesale,4/10/2018,6/24/2018,6/27/2018,6/30/2018,5,38,69,5,7,5045.1,3380.217
SO - 000300,Wholesale,4/10/2018,6/24/2018,7/14/2018,7/15/2018,2,38,23,11,11,1005,522.6
SO - 000301,Wholesale,4/10/2018,6/24/2018,7/10/2018,7/17/2018,2,20,28,2,11,2438.8,1219.4
SO - 000302,Distributor,4/10/2018,6/25/2018,7/10/2018,7/13/2018,2,46,79,7,6,3336.6,2035.326
SO - 000303,Wholesale,4/10/2018,6/25/2018,7/14/2018,7/15/2018,1,38,55,5,6,1098.8,857.064
SO - 000304,Wholesale,4/10/2018,6/25/2018,7/18/2018,7/21/2018,6,5,2,2,11,1902.8,970.428
SO - 000305,Wholesale,12/31/2017,6/25/2018,7/5/2018,7/13/2018,2,32,23,1,11,3477.3,2190.699
SO - 000306,Distributor,4/10/2018,6/26/2018,7/13/2018,7/17/2018,2,36,34,7,10,2599.6,1481.772
SO - 000307,Wholesale,4/10/2018,6/26/2018,7/20/2018,7/22/2018,3,1,5,10,12,1078.7,506.989
SO - 000308,Distributor,12/31/2017,6/26/2018,7/15/2018,7/19/2018,2,22,72,2,11,1045.2,533.052
SO - 000309,Export,12/31/2017,6/26/2018,7/19/2018,7/22/2018,2,21,3,7,11,1125.6,787.92
SO - 000310,Export,4/10/2018,6/26/2018,7/16/2018,7/18/2018,2,14,3,7,12,1105.5,762.795
SO - 000311,Export,12/31/2017,6/26/2018,7/24/2018,8/3/2018,6,50,36,9,10,2606.3,1668.032
SO - 000312,Wholesale,4/10/2018,6/26/2018,7/1/2018,7/11/2018,1,41,8,5,7,227.8,95.676
SO - 000313,Wholesale,4/10/2018,6/26/2018,7/20/2018,7/24/2018,2,35,6,11,8,167.5,123.95
SO - 000314,Wholesale,12/31/2017,6/26/2018,7/8/2018,7/11/2018,1,21,27,1,6,1145.7,538.479
SO - 000315,Wholesale,4/10/2018,6/26/2018,7/12/2018,7/13/2018,3,37,23,7,7,2599.6,2157.668
SO - 000316,Wholesale,4/10/2018,6/27/2018,7/9/2018,7/17/2018,2,14,7,7,5,3939.6,1969.8
SO - 000317,Distributor,4/10/2018,6/27/2018,7/18/2018,7/21/2018,2,18,24,7,6,2881,1584.55
SO - 000318,Distributor,4/10/2018,6/27/2018,7/4/2018,7/6/2018,2,22,4,5,8,3852.5,2003.3
SO - 000319,Export,4/10/2018,6/27/2018,7/4/2018,7/10/2018,4,48,10,13,7,1139,546.72
SO - 000320,Distributor,4/10/2018,6/27/2018,7/6/2018,7/9/2018,2,7,3,13,8,2519.2,2040.552
SO - 000321,Distributor,12/31/2017,6/27/2018,7/18/2018,7/23/2018,6,33,62,2,12,1192.6,703.634
SO - 000322,Wholesale,4/10/2018,6/27/2018,6/29/2018,7/9/2018,1,18,5,5,11,2412,1013.04
SO - 000323,Wholesale,4/10/2018,6/27/2018,7/18/2018,7/22/2018,2,6,11,7,9,2479,2057.57
SO - 000324,Wholesale,4/10/2018,6/27/2018,7/13/2018,7/14/2018,3,10,46,1,10,1956.4,1330.352
SO - 000325,Wholesale,4/10/2018,6/27/2018,7/5/2018,7/14/2018,2,4,79,11,9,1078.7,722.729
SO - 000326,Wholesale,12/31/2017,6/27/2018,7/12/2018,7/22/2018,6,22,22,2,11,1212.7,945.906
SO - 000327,Distributor,4/10/2018,6/27/2018,7/6/2018,7/13/2018,1,48,11,1,7,978.2,821.688
SO - 000328,Distributor,4/10/2018,6/27/2018,7/14/2018,7/18/2018,3,28,8,5,10,174.2,120.198
SO - 000329,Wholesale,4/10/2018,6/27/2018,7/8/2018,7/12/2018,1,25,57,7,5,1125.6,630.336
SO - 000330,Distributor,4/10/2018,6/28/2018,7/10/2018,7/11/2018,3,49,58,1,8,1065.3,468.732
SO - 000331,Distributor,4/10/2018,6/28/2018,7/16/2018,7/22/2018,6,11,23,7,8,3892.7,2724.89
SO - 000332,Wholesale,4/10/2018,6/28/2018,7/18/2018,7/26/2018,3,19,80,5,5,207.7,120.466
SO - 000333,Wholesale,4/10/2018,6/28/2018,7/13/2018,7/18/2018,6,20,76,2,8,1185.9,948.72
